obs_index,burn_rate_daily,TTS_days,avg_delivery_delay,pct_late_deliveries,quality_incident_rate,supplier_risk_class,criticality_class,news_risk_score,disruption_event_flag,severity_score
104,0.8557604,1.6698899,-0.06214538,-0.029998634,0.0,0.2723745,0.0,0.0,0.0,0.0
105,0.5533858,1.4844491,-0.2921562,0.06700332,0.0,0.2590005,0.0,0.0,0.0,0.0
106,0.6865766,1.3347853,-0.10620898,-0.10818631,0.0,0.2708383,0.0,0.0,0.0,0.0
107,0.58964574,1.4354252,0.190744,0.07506405,0.0,0.26233208,0.0,0.0,0.0,0.0
108,0.91342753,1.5811942,0.38335738,0.33945054,0.0,0.29912087,0.0,0.0,0.0,0.0
109,0.29962605,1.6329634,-0.03694003,-0.9922178,0.0,0.16613106,0.0,0.0,0.0,0.0
110,0.83098596,1.5067606,-0.001733418,0.0791416,0.0,0.25177526,0.0,0.0,0.0,0.0
111,0.8349311,1.5570632,0.12717406,0.03370326,0.0,0.25177526,0.0,0.0,0.0,0.0
112,0.83431464,1.5947428,0.26103085,0.39313096,0.0,0.27112556,0.0,0.0,0.0,0.0
113,0.964751,1.4919426,0.025697647,-0.19365801,0.0,0.26293895,0.0,0.0,0.0,0.0
114,0.9219438,1.5616869,0.20741558,0.060280506,0.0,0.27700227,0.0,0.0,0.0,0.0
115,0.9774133,1.4776752,0.030324748,-0.19391158,0.0,0.26017067,0.0,0.0,0.0,0.0
116,0.9636864,1.5917568,0.381752,0.20430656,0.0,0.29444563,0.0,0.0,0.0,0.0
117,0.808478,1.273525,-0.3326892,0.117462076,0.0,0.2600192,0.0,0.0,0.0,0.0
118,0.8855162,1.248636,-0.026629025,0.06077847,0.0,0.24195449,0.0,0.0,0.0,0.0
119,1.0760531,0.38117883,-0.053341046,0.26700497,0.0,0.3242228,0.0,0.0,0.0,0.0
120,0.04238444,0.23066024,-0.10151286,-0.283549,0.0,0.21340466,0.0,0.0,0.0,0.0
121,0.332607,0.16231751,-0.2203177,0.0070507876,0.0,0.2492386,0.0,0.0,0.0,0.0
122,0.4548915,0.1837917,0.29975238,-0.1515034,0.0,0.2435007,0.0,0.0,0.0,0.0
123,0.4678079,0.17401266,0.011867149,-0.012690008,0.0,0.21806006,0.0,0.0,0.0,0.0
124,0.5503271,-0.10242959,0.44085878,0.18033083,0.0,0.19405077,0.0,0.0,0.0,0.0
125,0.5761362,0.12584053,0.27913,-0.11754149,0.0,0.24105437,0.0,0.0,0.0,0.0
126,0.95691955,-0.044263445,0.024858328,0.080255516,0.0,0.15193686,0.0,0.0,0.0,0.0
127,0.39340433,-1.2324201,-0.2537938,-0.28408286,0.0,0.15139729,0.0,0.0,0.0,0.0
128,0.39207146,-0.87508845,-0.23676482,-0.013210332,0.0,0.1391582,0.0,0.0,0.0,0.0
129,0.32972136,-1.1884103,-0.12203828,0.08954083,0.0,0.13907225,0.0,0.0,0.0,0.0
130,-0.0035425182,-1.9325299,-0.049191743,-0.025100525,0.0,0.09373262,0.0,0.0,0.0,0.0
131,-0.1673175,-2.0030055,-0.055301685,-0.12507999,0.0,0.104804546,0.0,0.0,0.0,0.0
132,0.25975865,-1.5609237,-0.13893828,-0.19733387,0.0,0.1242245,0.0,0.0,0.0,0.0
133,0.2602134,-1.5291417,-0.25756866,-0.03422032,0.0,0.11118122,0.0,0.0,0.0,0.0
134,-0.057624485,-1.7243695,-0.2513383,-0.23841378,0.0,0.12535274,0.0,0.0,0.0,0.0
135,-0.09393938,-1.7932323,-0.3594158,-0.19831602,0.0,0.11771058,0.0,0.0,0.0,0.0
136,0.20372674,-0.89363176,0.24734658,0.076150924,0.0,0.13617016,0.0,0.0,0.0,0.0
137,-0.061761394,-1.909756,0.09203257,-0.057743773,0.0,0.11777661,0.0,0.0,0.0,0.0
138,-0.06553807,-1.8595284,-0.40882456,-0.22606288,0.0,0.1251338,0.0,0.0,0.0,0.0
139,0.07441033,-1.2053255,0.041822154,-0.11109528,0.0,0.11038242,0.0,0.0,0.0,0.0
140,0.23833391,-0.84352875,0.08256478,0.13160121,0.0,0.07817969,0.0,0.0,0.0,0.0
