event_id,publish_date,disruption_type,location_entities,severity_score,predicted_label,predicted_probability
f4bead65d5,2015-12-30,PORT_CONGESTION,UNKNOWN,5,1,0.5342
7d35bba765,2016-01-04,PORT_CONGESTION,CN,9,1,0.9205
e6ad193556,1452005818000,PORT_CONGESTION,"US,VI",8,1,0.8649
8eea88fbdb,2016-01-05,PORT_CONGESTION,"FR,GB",8,1,0.8573
17ba23987b,2016-01-06,PORT_CONGESTION,US,9,1,0.9146
a3407f45a9,2016-01-07,PORT_CONGESTION,UNKNOWN,9,1,0.915
502d18c960,2016-01-07,PORT_CONGESTION,UNKNOWN,8,1,0.8326
90dc5653d7,2016-01-08,PORT_CONGESTION,VI,9,1,0.9245
fac6b1100a,2016-01-08,PORT_CONGESTION,US,9,1,0.9275
25cee783f5,1452515727000,PORT_CONGESTION,"MM,SG,CN,TH,KH,LA,HK,VN",6,1,0.6295
16dece6981,2016-01-11,PORT_CONGESTION,US,9,1,0.9171
8d0c91459d,2016-01-12,PORT_CONGESTION,UNKNOWN,9,1,0.9269
658719ecaf,2016-01-15,PORT_CONGESTION,FR,5,1,0.5704
7bfa992d9d,1452900840000,PORT_CONGESTION,"US,MX,VI",6,1,0.685
fa0ead2939,2016-01-18,PORT_CONGESTION,MX,5,1,0.511
80ac77d92e,2016-01-19,PORT_CONGESTION,VI,8,1,0.8585
d2bba07410,1453306700000,PORT_CONGESTION,"RU,CN",6,1,0.6543
3c6a2d2b1d,1453738825000,PORT_CONGESTION,"GB,IE,VI,CN",5,1,0.5356
ad48020893,2016-01-25,PORT_CONGESTION,CH,9,1,0.9195
56c34c5ef5,2016-01-28,PORT_CONGESTION,UNKNOWN,7,1,0.7838
bb15ef27b4,2016-02-01,PORT_CONGESTION,"US,CN",9,1,0.9098
7a0b90bf90,2016-02-01,PORT_CONGESTION,CN,9,1,0.9115
405aef1e02,2016-02-01,PORT_CONGESTION,"VI,CN",9,1,0.9065
7d60d54d74,1454394113000,PORT_CONGESTION,"CN,VI,FR",6,1,0.6374
779ada80c5,1454348614000,PORT_CONGESTION,"RU,PL",8,1,0.8488
86552148cd,2016-02-04,PORT_CONGESTION,AU,8,1,0.8169
ac3a5bc2e5,2016-02-05,PORT_CONGESTION,UNKNOWN,7,1,0.7652
e5e54768f5,2016-02-05,PORT_CONGESTION,"VI,CN,UA",8,1,0.893
6ba3e55709,1454710578000,PORT_CONGESTION,UNKNOWN,5,1,0.5441
30c4cd0453,1454942627000,GEOPOLITICAL,"JP,VI",7,1,0.5876
7de9a21f70,1454940943000,PORT_CONGESTION,IN,6,1,0.6114
3fb635ac9d,2016-02-09,PORT_CONGESTION,UNKNOWN,5,1,0.4793
6027990a35,1455127074000,PORT_CONGESTION,"VI,CN,DE,US",5,1,0.5435
4a741993e8,2016-02-11,PORT_CONGESTION,"VI,US,GH",9,1,0.9243
3618a2821e,1455285043000,PORT_CONGESTION,"JP,SG,VI",5,1,0.5524
2ce1f4694c,2016-02-12,PORT_CONGESTION,"CN,IR,MY,ID",9,1,0.901
5a572c6fec,1455308599000,PORT_CONGESTION,"GB,US",8,1,0.8727
3c2f4f3f1b,2016-02-16,PORT_CONGESTION,UNKNOWN,5,1,0.4987
cc6f9be028,2016-02-17,PORT_CONGESTION,"CN,SG,HK,NL,GB",5,1,0.5629
df1be531d3,2016-02-18,PORT_CONGESTION,VI,7,1,0.772
d45e396cb9,1455824913000,PORT_CONGESTION,UNKNOWN,5,1,0.5923
5b80fbf70b,2016-02-19,PORT_CONGESTION,UNKNOWN,7,1,0.756
1bf6692769,2016-02-22,LABOR_STRIKE,UNKNOWN,6,1,0.6407
5756572395,2016-02-22,PORT_CONGESTION,UNKNOWN,6,1,0.6878
8c36d99da9,2016-02-23,PORT_CONGESTION,"CN,NL,BE,DE",5,1,0.5161
2b5b401dac,2016-02-24,PORT_CONGESTION,UNKNOWN,8,1,0.8936
3920c46669,1456351364000,PORT_CONGESTION,UNKNOWN,8,1,0.8704
5645fefcc9,2016-02-26,PORT_CONGESTION,UNKNOWN,8,1,0.8507
b40c34320a,2016-02-26,PORT_CONGESTION,"CN,KP",8,1,0.8007
028f5bf5c3,2016-02-26,PORT_CONGESTION,CN,5,1,0.5278
dc15dbc34b,2016-02-26,GENERAL_DISRUPTION,UNKNOWN,6,1,0.6469
9459ac417d,1456762090000,PORT_CONGESTION,"US,CN,VI,JP,CH",8,1,0.8152
965736fb82,1456751993000,PORT_CONGESTION,UNKNOWN,5,1,0.5698
33600dd2db,2016-02-29,PORT_CONGESTION,UNKNOWN,5,1,0.534
fc8367ce09,2016-02-29,PORT_CONGESTION,UNKNOWN,8,1,0.8338
5569af91bf,2016-03-01,PORT_CONGESTION,UNKNOWN,9,1,0.9006
3d342dda87,1456877549000,PORT_CONGESTION,US,7,1,0.7859
a9d9f56b83,1456866875000,PORT_CONGESTION,"US,VI",9,1,0.9084
2dd25b5435,1456864691000,PORT_CONGESTION,UNKNOWN,5,1,0.5811
c9cb7e06b4,2016-03-02,PORT_CONGESTION,UNKNOWN,8,1,0.8976
9b43d246c0,2016-03-02,PORT_CONGESTION,UNKNOWN,8,1,0.8495
8abf6bffe4,1456956949000,PORT_CONGESTION,VI,6,1,0.659
c0f93f197e,2016-03-03,PORT_CONGESTION,VI,7,1,0.751
9bd7a61a5a,2016-03-03,PORT_CONGESTION,UNKNOWN,8,1,0.8997
8d16742bfa,2016-03-03,PORT_CONGESTION,UNKNOWN,9,1,0.9135
71dd6b4435,2016-03-04,PORT_CONGESTION,UNKNOWN,8,1,0.8945
2d7ebe479f,2016-03-04,PORT_CONGESTION,GB,7,1,0.7458
3f0349b5e4,2016-03-04,PORT_CONGESTION,UNKNOWN,7,1,0.7758
fba236988f,2016-03-04,GEOPOLITICAL,UNKNOWN,10,1,0.8017
2095fba07b,2016-03-04,PORT_CONGESTION,VI,6,1,0.6199
ad7d47a9f6,2016-03-07,PORT_CONGESTION,VI,5,1,0.5067
6557ba5599,2016-03-07,PORT_CONGESTION,VI,9,2,0.6928
8fe4c881fd,2016-03-08,PORT_CONGESTION,"US,VI",5,1,0.5103
efd708b3da,2016-03-10,PORT_CONGESTION,UNKNOWN,8,1,0.8789
424cf78583,2016-03-10,PORT_CONGESTION,GB,7,1,0.7448
463bf66f9a,2016-03-10,PORT_CONGESTION,UNKNOWN,9,1,0.9157
fbb2bd431c,2016-03-11,PORT_CONGESTION,UNKNOWN,8,1,0.8944
95e5942887,2016-03-11,PORT_CONGESTION,UNKNOWN,6,1,0.689
e19a3b6d5d,1457732795000,PORT_CONGESTION,US,7,1,0.7365
f1eaeb99ba,2016-03-14,PORT_CONGESTION,UNKNOWN,9,1,0.9255
